Date,Camden Kerbside,Haringey Roadside,London Bexley,London Bloomsbury,London Eltham,London Haringey Priory Park South,London Harlington,London Hillingdon,London Marylebone Road,London N. Kensington,London Westminster,Southwark A2 Old Kent Road,Tower Hamlets Roadside
01/01/2019,33,19,14,37,12,11,17,No data,41,21,33,31,47
02/01/2019,67,33,22,43,20,18,33,No data,43,32,38,62,64
03/01/2019,73,45,38,44,28,27,36,31,51,34,39,75,76
04/01/2019,60,43,49,50,42,34,50,45,55,42,50,72,72
05/01/2019,56,34,28,52,23,29,38,36,51,42,51,54,63
06/01/2019,50,35,43,55,35,30,39,38,59,40,51,50,64
07/01/2019,34,31,26,47,23,21,25,51,76,35,40,29,54
08/01/2019,58,25,24,45,22,21,31,24,38,31,44,54,59
09/01/2019,69,33,28,48,21,24,31,29,41,36,42,62,60
10/01/2019,63,48,58,61,48,43,53,53,65,56,59,62,71
11/01/2019,67,40,46,54,38,34,46,44,57,48,57,64,73
12/01/2019,31,24,20,42,19,17,17,31,64,25,38,25,57
13/01/2019,16,13,10,29,11,8,13,16,42,13,24,19,42
14/01/2019,45,29,33,47,27,24,34,28,48,32,43,52,61
15/01/2019,51,45,25,36,24,32,41,68,86,40,35,31,48
16/01/2019,44,36,22,31,17,23,35,59,79,28,31,26,39
17/01/2019,63,34,32,51,26,27,43,42,54,39,48,63,72
18/01/2019,79,62,52,53,34,44,51,85,84,51,52,46,57
19/01/2019,56,44,26,38,21,31,22,63,62,36,37,48,37
20/01/2019,65,46,46,51,35,39,52,51,56,49,50,73,71
21/01/2019,67,56,52,48,42,44,59,79,83,55,60,54,73
22/01/2019,58,46,39,48,36,40,48,74,79,45,47,46,69
23/01/2019,80,41,33,53,29,36,53,49,56,46,49,80,70
24/01/2019,82,62,67,69,54,61,67,83,94,68,73,77,74
25/01/2019,51,46,45,55,40,37,42,53,84,49,60,54,58
26/01/2019,36,28,9,24,11,15,28,45,75,20,23,14,40
27/01/2019,20,10,8,26,10,7,9,9,33,12,19,25,33
28/01/2019,59,34,35,No data,31,31,41,41,52,37,47,66,59
29/01/2019,72,59,40,No data,28,47,61,89,91,50,52,48,51
30/01/2019,63,47,No data,59,48,41,53,56,76,59,58,60,67
31/01/2019,97,56,No data,63,41,50,58,79,90,60,66,67,64
01/02/2019,50,32,23,42,22,22,29,30,41,30,45,56,59
02/02/2019,55,21,17,38,15,14,25,21,32,23,32,52,50
03/02/2019,48,42,25,37,24,31,42,65,72,42,36,38,45
04/02/2019,50,43,23,33,18,31,42,66,74,33,38,31,34
05/02/2019,54,55,26,35,17,39,46,68,74,33,39,32,35
06/02/2019,58,47,27,34,18,33,No data,76,85,35,40,31,35
07/02/2019,30,26,11,22,10,16,No data,50,81,20,22,15,31
08/02/2019,28,24,9,18,4,12,No data,45,89,14,17,10,19
09/02/2019,21,21,7,15,5,9,22,42,80,13,13,9,18
10/02/2019,30,24,17,35,12,14,24,37,68,21,24,24,29
11/02/2019,72,48,44,42,28,33,48,55,64,43,46,64,55
12/02/2019,55,57,35,38,24,36,53,85,94,45,43,No data,44
13/02/2019,49,59,31,33,18,31,48,79,85,34,37,No data,32
14/02/2019,91,76,54,53,35,57,65,89,92,62,62,81,66
15/02/2019,77,80,55,57,30,56,69,95,97,58,65,69,64
16/02/2019,51,59,37,41,20,34,58,80,84,43,44,38,35
17/02/2019,43,45,26,31,14,28,48,75,74,27,34,39,32
18/02/2019,44,50,28,33,18,27,49,83,83,30,35,32,32
19/02/2019,46,44,21,29,15,26,41,80,88,30,27,29,37
20/02/2019,38,37,20,24,11,17,37,No data,79,24,No data,24,25
21/02/2019,44,48,27,29,19,27,41,No data,89,30,No data,31,33
22/02/2019,75,60,44,57,35,49,48,No data,93,51,51,63,47
23/02/2019,68,58,43,46,34,44,54,No data,80,50,48,56,45
24/02/2019,72,60,55,64,50,48,67,No data,79,68,71,79,60
25/02/2019,96,78,70,81,69,65,86,No data,102,86,99,105,81
26/02/2019,103,85,85,90,76,73,93,No data,110,92,111,114,92
27/02/2019,93,85,71,75,56,69,91,No data,119,83,98,87,86
28/02/2019,47,46,38,50,29,31,43,No data,98,40,47,42,52
01/03/2019,49,42,42,45,27,27,44,No data,73,35,44,49,55
02/03/2019,29,29,17,20,9,16,26,No data,72,18,23,16,28
03/03/2019,19,18,9,10,6,9,26,No data,60,11,12,10,18
04/03/2019,26,24,17,25,13,15,18,49,84,No data,25,19,35
05/03/2019,38,39,19,21,11,20,33,60,No data,No data,21,20,25
06/03/2019,31,33,13,19,8,17,29,47,No data,15,19,16,17
07/03/2019,21,21,10,25,10,11,12,30,87,14,20,16,29
08/03/2019,44,40,20,31,15,21,30,54,91,27,27,25,36
09/03/2019,25,26,11,24,No data,12,20,39,73,16,20,17,30
10/03/2019,25,21,10,27,No data,11,13,30,57,17,17,22,32
11/03/2019,27,23,16,36,No data,12,20,No data,60,17,24,26,32
12/03/2019,26,25,12,24,No data,15,20,No data,71,16,21,19,28
13/03/2019,18,14,11,32,10,9,10,No data,60,14,24,22,31
14/03/2019,25,20,12,32,11,12,17,No data,65,17,25,24,34
15/03/2019,18,18,8,23,8,9,12,No data,72,12,21,15,28
16/03/2019,16,15,4,9,4,6,17,No data,60,8,10,9,17
17/03/2019,19,18,12,36,9,9,12,No data,62,14,18,21,32
18/03/2019,50,35,38,54,29,28,36,No data,75,37,41,46,56
19/03/2019,52,54,30,35,21,36,40,No data,85,33,35,34,41
20/03/2019,40,42,21,32,16,23,26,No data,No data,24,28,24,39
21/03/2019,44,38,27,35,22,23,27,No data,No data,28,39,33,42
22/03/2019,41,43,24,23,16,22,33,No data,84,23,29,25,30
23/03/2019,53,38,29,44,19,22,29,No data,54,30,38,51,45
24/03/2019,41,32,27,42,18,21,35,No data,51,30,39,49,47
25/03/2019,61,32,23,38,13,16,30,No data,43,23,30,57,46
26/03/2019,77,59,49,58,38,41,49,50,75,53,58,73,70
27/03/2019,71,55,46,47,35,31,49,51,64,44,51,79,68
28/03/2019,84,68,46,46,29,41,58,78,91,48,54,74,57
29/03/2019,76,76,51,52,31,43,57,89,108,46,57,66,52
30/03/2019,74,51,47,58,30,36,49,51,73,48,64,64,61
31/03/2019,26,17,14,24,9,13,17,22,36,16,22,32,30
01/04/2019,54,34,25,37,16,22,32,49,61,29,No data,51,36
02/04/2019,54,44,35,46,23,33,42,55,97,38,No data,44,44
03/04/2019,67,44,41,46,25,31,42,58,80,38,No data,54,52
04/04/2019,59,39,22,29,7,25,26,67,75,24,No data,25,24
05/04/2019,55,31,22,36,12,19,24,59,74,26,No data,39,29
06/04/2019,29,24,13,28,9,15,25,27,31,21,No data,42,35
07/04/2019,38,24,14,30,10,13,18,17,27,20,No data,43,No data
08/04/2019,57,43,43,48,32,29,38,34,55,39,No data,60,49
09/04/2019,39,34,22,37,17,21,34,29,36,30,No data,53,53
10/04/2019,30,23,12,26,7,12,18,19,27,15,No data,42,42
11/04/2019,47,38,20,34,12,18,26,35,51,22,No data,50,38
12/04/2019,49,41,20,36,13,21,31,39,53,25,No data,57,44
13/04/2019,43,32,19,29,11,17,26,36,47,24,No data,46,38
14/04/2019,44,38,14,29,11,20,22,42,56,24,No data,38,33
15/04/2019,54,41,32,47,20,29,32,62,71,38,No data,52,39
16/04/2019,69,59,49,59,43,42,51,52,67,58,No data,77,60
17/04/2019,65,46,45,54,35,30,41,64,63,49,No data,68,49
18/04/2019,55,53,49,51,38,33,44,60,64,42,No data,67,50
19/04/2019,49,56,42,45,28,26,38,56,54,36,No data,65,54
20/04/2019,50,50,34,39,22,20,35,49,51,29,No data,57,46
21/04/2019,49,53,42,43,29,23,36,45,59,33,No data,61,47
22/04/2019,69,57,46,60,38,35,46,73,68,48,No data,75,58
23/04/2019,61,55,57,59,45,40,61,62,72,50,No data,80,62
24/04/2019,61,45,30,39,20,30,39,73,80,37,No data,41,41
25/04/2019,36,38,14,19,8,15,27,59,71,15,No data,14,16
26/04/2019,31,42,15,19,7,15,31,57,71,15,No data,17,17
27/04/2019,14,14,5,27,5,6,8,20,52,9,No data,13,19
28/04/2019,34,24,9,30,7,13,15,12,27,15,No data,33,31
29/04/2019,55,53,27,39,18,24,32,43,54,30,No data,59,42
30/04/2019,78,54,30,46,23,31,34,62,77,41,No data,57,43
01/05/2019,50,53,30,45,24,29,35,53,74,27,No data,39,49
02/05/2019,54,29,26,42,19,17,26,23,47,23,No data,50,41
03/05/2019,53,43,24,38,18,20,26,31,56,26,No data,46,50
04/05/2019,41,23,9,25,4,9,12,9,24,14,No data,35,28
05/05/2019,43,35,14,22,7,15,22,27,35,15,No data,40,35
06/05/2019,25,31,15,37,12,13,18,31,49,16,No data,27,32
07/05/2019,50,60,19,23,9,20,25,75,86,19,No data,22,23
08/05/2019,No data,47,16,28,9,22,33,67,No data,24,No data,28,30
09/05/2019,No data,34,24,37,17,20,32,41,No data,33,No data,47,43
10/05/2019,No data,45,21,21,12,22,33,66,89,24,No data,30,36
11/05/2019,52,40,23,31,16,17,25,22,52,22,No data,54,39
12/05/2019,42,42,18,29,14,14,19,34,64,23,No data,44,32
13/05/2019,49,49,20,37,13,19,31,46,73,24,No data,58,33
14/05/2019,43,40,18,40,13,16,24,34,68,20,No data,52,30
15/05/2019,60,47,23,44,15,20,30,55,80,28,No data,58,35
16/05/2019,43,38,17,36,11,16,24,25,53,21,No data,51,36
17/05/2019,42,37,19,29,12,16,21,18,39,20,No data,56,35
18/05/2019,53,40,23,36,16,21,31,28,59,29,No data,52,44
19/05/2019,44,34,30,31,18,18,26,26,46,27,No data,58,43
20/05/2019,62,37,30,34,18,18,29,22,47,28,No data,67,48
21/05/2019,54,35,29,29,17,13,23,17,44,19,No data,57,42
22/05/2019,48,54,22,25,13,17,32,64,94,19,No data,38,34
23/05/2019,42,63,19,20,11,17,31,72,107,17,No data,24,27
24/05/2019,46,28,21,28,15,13,24,18,46,21,No data,54,43
25/05/2019,25,18,13,25,9,7,13,13,39,12,No data,35,29
26/05/2019,17,17,7,11,5,8,11,27,47,12,No data,14,20
27/05/2019,16,14,10,16,7,7,10,23,48,14,No data,19,23
28/05/2019,40,22,15,22,8,11,22,22,40,17,No data,43,27
29/05/2019,33,41,16,18,6,18,31,55,71,19,No data,21,21
30/05/2019,17,20,7,12,6,7,12,32,64,13,No data,12,20
31/05/2019,23,30,11,11,7,9,20,47,No data,15,No data,15,18
01/06/2019,31,38,13,14,9,13,30,60,No data,14,No data,19,17
02/06/2019,21,26,10,10,8,10,26,42,No data,12,No data,18,17
03/06/2019,25,25,8,9,7,8,17,46,No data,10,No data,11,20
04/06/2019,52,37,20,27,16,21,28,57,No data,25,No data,43,28
05/06/2019,30,28,11,9,8,10,18,54,No data,12,No data,16,19
06/06/2019,36,38,11,13,8,13,19,57,No data,14,No data,17,17
07/06/2019,52,29,25,36,17,19,27,43,No data,29,No data,48,36
08/06/2019,14,19,6,7,6,7,11,30,65,9,No data,11,18
09/06/2019,27,32,9,9,7,9,19,40,60,12,No data,18,18
10/06/2019,49,33,19,30,15,12,21,16,43,20,No data,53,45
11/06/2019,44,25,10,22,8,10,12,19,No data,17,No data,40,29
12/06/2019,50,30,23,27,15,17,23,21,56,23,No data,57,38
13/06/2019,32,30,10,17,5,13,27,53,87,16,No data,17,18
14/06/2019,31,29,8,13,5,11,22,53,87,13,No data,15,14
15/06/2019,27,28,7,12,5,10,23,53,70,12,No data,16,13
16/06/2019,18,20,5,8,4,7,22,40,55,9,No data,12,11
17/06/2019,28,25,10,11,6,8,19,53,86,10,No data,14,12
18/06/2019,55,35,23,33,17,29,34,52,73,33,No data,49,40
19/06/2019,47,25,23,28,20,20,23,38,66,27,34,47,44
20/06/2019,25,17,10,17,No data,11,15,36,87,16,18,17,29
21/06/2019,37,20,11,20,No data,13,16,34,71,16,22,27,33
22/06/2019,50,24,13,19,No data,17,19,47,75,21,21,32,21
23/06/2019,34,20,21,26,19,16,27,30,No data,23,30,46,26
24/06/2019,50,37,20,31,22,26,39,66,No data,29,35,39,33
25/06/2019,47,No data,20,31,16,No data,25,22,43,24,36,57,37
26/06/2019,23,No data,7,17,7,No data,10,11,25,11,22,42,24
27/06/2019,26,No data,4,15,6,No data,11,15,43,11,18,34,19
28/06/2019,38,No data,8,26,9,13,18,32,55,18,23,40,17
29/06/2019,54,No data,22,28,19,22,32,64,94,24,No data,38,27
30/06/2019,10,16,5,8,6,7,7,16,46,8,13,13,20
01/07/2019,25,11,9,13,8,7,10,12,32,9,19,29,25
02/07/2019,44,24,12,19,10,11,19,13,28,13,21,51,29
03/07/2019,44,30,16,27,14,14,21,26,53,18,29,50,32
04/07/2019,55,34,18,28,16,18,34,30,55,22,33,65,36
05/07/2019,37,32,22,22,18,12,23,35,69,19,28,48,42
06/07/2019,35,24,11,18,10,15,17,15,26,15,20,46,28
07/07/2019,33,24,8,16,7,12,16,34,40,15,18,31,21
08/07/2019,47,39,18,25,13,22,26,55,64,19,23,36,26
09/07/2019,44,49,15,19,12,20,24,45,72,17,23,26,28
10/07/2019,35,47,16,18,13,17,28,60,87,18,22,24,28
11/07/2019,28,31,16,19,13,14,18,29,68,16,26,26,36
12/07/2019,35,20,12,18,9,8,13,9,25,10,24,46,31
13/07/2019,31,28,9,14,8,9,11,9,21,10,21,45,25
14/07/2019,24,25,7,12,6,9,11,10,20,11,18,33,23
15/07/2019,37,32,11,13,8,10,17,15,32,12,21,49,28
16/07/2019,40,45,18,22,13,14,26,48,80,17,25,32,31
17/07/2019,41,56,17,17,11,18,25,65,No data,16,22,23,23
18/07/2019,25,31,14,17,11,12,15,38,No data,14,23,23,26
19/07/2019,29,43,13,18,8,17,28,50,73,16,20,20,21
20/07/2019,15,24,6,8,6,8,12,26,62,8,15,No data,18
21/07/2019,20,30,6,8,6,9,17,36,57,11,10,16,13
22/07/2019,23,33,9,8,7,11,18,41,65,12,12,15,12
23/07/2019,62,45,27,40,16,22,25,55,92,27,30,45,28
24/07/2019,41,52,23,No data,15,22,33,52,106,26,23,36,31
25/07/2019,80,70,33,No data,21,31,39,82,114,42,39,55,45
26/07/2019,32,39,18,No data,15,21,22,42,67,22,23,27,36
27/07/2019,27,19,16,No data,13,11,19,14,35,17,23,38,30
28/07/2019,15,15,8,No data,8,6,10,19,40,15,15,22,27
29/07/2019,36,40,14,No data,8,14,17,53,63,15,18,23,19
30/07/2019,29,33,9,No data,5,12,20,45,55,12,14,12,12
31/07/2019,19,28,7,15,7,8,13,33,63,11,15,14,19
01/08/2019,36,26,14,26,11,10,16,17,43,16,26,49,29
02/08/2019,41,23,14,27,8,8,15,12,35,15,25,57,23
03/08/2019,40,26,19,25,11,15,24,55,53,18,23,39,18
04/08/2019,35,27,16,23,9,18,27,57,63,15,17,25,18
05/08/2019,21,21,9,14,6,8,18,41,59,11,15,14,13
06/08/2019,21,20,7,10,4,6,18,41,56,9,10,11,9
07/08/2019,20,18,8,13,7,9,15,35,61,13,16,15,12
08/08/2019,32,27,12,15,9,12,17,No data,70,13,16,18,13
09/08/2019,23,21,9,14,6,10,19,40,50,11,13,13,9
10/08/2019,13,12,2,7,2,4,15,21,35,9,6,6,7
11/08/2019,17,18,3,8,4,7,20,34,42,11,9,9,7
12/08/2019,45,35,21,29,16,22,27,30,46,23,29,38,22
13/08/2019,27,23,13,21,10,12,15,32,53,17,21,28,23
14/08/2019,30,36,11,22,6,17,30,56,58,18,18,19,19
15/08/2019,21,14,10,20,9,8,14,24,42,14,22,24,24
16/08/2019,24,29,10,19,6,12,23,45,53,14,15,18,16
17/08/2019,17,18,4,9,4,6,17,34,45,8,9,10,13
18/08/2019,17,21,4,9,4,7,18,36,50,9,9,10,13
19/08/2019,20,25,8,14,7,8,15,40,60,14,13,No data,15
20/08/2019,31,31,17,22,15,15,20,42,63,22,23,No data,29
21/08/2019,38,No data,16,18,12,15,32,No data,66,17,20,21,23
22/08/2019,27,No data,14,13,10,15,26,No data,73,14,16,16,20
23/08/2019,53,No data,25,34,21,28,33,60,70,25,31,38,32
24/08/2019,64,No data,38,54,31,29,40,71,79,49,56,63,45
25/08/2019,58,No data,36,51,28,24,57,85,87,53,50,59,47
26/08/2019,71,No data,40,43,24,30,57,84,95,61,47,51,48
27/08/2019,71,No data,37,51,27,37,54,69,No data,53,54,54,53
28/08/2019,29,No data,19,14,12,12,18,45,No data,16,19,16,20
29/08/2019,24,No data,12,15,9,9,19,36,No data,14,18,16,19
30/08/2019,27,No data,14,14,7,11,23,55,No data,12,18,15,14
31/08/2019,24,No data,16,14,10,13,20,35,60,19,22,19,21
01/09/2019,23,No data,12,14,10,9,17,14,35,16,20,27,24
02/09/2019,28,No data,14,19,11,15,22,41,70,21,No data,20,25
03/09/2019,22,No data,9,14,8,10,16,42,67,13,No data,13,22
04/09/2019,15,17,No data,14,6,7,No data,21,47,10,20,15,19
05/09/2019,46,25,No data,28,12,14,20,21,36,21,31,46,30
06/09/2019,34,38,15,25,15,22,27,47,67,25,27,26,28
07/09/2019,36,21,9,22,8,8,19,15,23,16,23,36,26
08/09/2019,43,30,16,20,12,15,32,31,33,23,23,44,30
09/09/2019,42,52,26,24,13,26,33,72,67,24,29,26,24
10/09/2019,47,37,32,36,23,27,29,33,57,33,43,42,41
11/09/2019,22,27,9,16,9,13,19,36,59,17,17,15,19
12/09/2019,23,30,8,14,7,16,24,37,62,15,15,13,20
13/09/2019,53,27,13,30,10,11,20,18,39,17,24,50,28
14/09/2019,55,46,26,39,21,33,48,57,72,37,42,55,39
15/09/2019,37,34,22,31,21,23,33,31,52,28,32,37,34
16/09/2019,31,26,23,28,20,16,21,18,38,22,30,38,26
17/09/2019,41,28,18,26,12,14,23,22,29,18,25,52,34
18/09/2019,47,39,27,35,22,24,33,34,50,27,31,62,39
19/09/2019,57,45,32,46,26,30,38,45,68,40,46,57,43
20/09/2019,56,42,29,56,23,29,38,46,82,41,49,59,38
21/09/2019,56,47,37,66,29,32,42,58,80,51,51,61,42
22/09/2019,39,45,20,27,12,27,43,64,65,28,23,30,27
23/09/2019,No data,30,8,12,7,12,28,46,65,12,15,12,16
24/09/2019,35,34,10,19,8,15,27,48,67,16,24,No data,20
25/09/2019,27,28,9,16,9,14,23,39,64,14,20,16,18
26/09/2019,26,29,8,17,6,12,27,42,72,14,21,15,18
27/09/2019,27,30,8,15,7,12,20,39,67,14,18,16,12
28/09/2019,20,24,5,10,6,10,22,33,57,10,12,12,15
29/09/2019,14,15,6,10,5,6,17,20,38,8,16,13,14
30/09/2019,34,37,13,20,11,18,33,54,69,No data,24,21,19
01/10/2019,36,32,15,23,10,13,20,39,56,No data,30,25,24
02/10/2019,46,28,25,35,19,20,28,23,37,25,38,52,34
03/10/2019,52,46,27,38,22,29,40,60,84,34,39,36,32
04/10/2019,35,32,23,31,18,22,25,40,70,29,35,31,30
05/10/2019,51,36,19,31,19,23,30,48,50,32,34,45,33
06/10/2019,23,16,11,21,9,11,14,16,28,16,24,27,24
07/10/2019,36,43,20,25,13,22,33,48,66,24,33,30,23
08/10/2019,28,33,10,17,11,16,22,40,74,18,23,17,24
09/10/2019,23,28,12,16,11,14,16,41,73,19,23,17,22
10/10/2019,26,27,9,16,8,13,21,39,72,16,22,14,20
11/10/2019,25,27,8,17,6,10,22,38,68,15,23,14,20
12/10/2019,47,51,21,26,17,29,36,70,72,28,32,28,35
13/10/2019,28,28,12,22,9,16,33,50,61,23,25,25,20
14/10/2019,48,46,27,38,21,28,40,47,57,39,46,52,33
15/10/2019,37,39,20,24,15,20,31,48,77,22,32,25,25
16/10/2019,42,40,26,39,20,26,31,55,70,31,40,31,32
17/10/2019,49,56,22,32,13,31,44,70,78,31,38,31,27
18/10/2019,29,36,11,18,8,13,32,49,72,16,23,16,23
19/10/2019,37,41,20,29,16,23,32,52,71,27,31,30,26
20/10/2019,41,31,19,32,17,15,20,20,30,25,32,41,30
21/10/2019,45,22,17,32,13,9,19,16,27,21,28,51,31
22/10/2019,54,50,33,41,24,28,44,55,72,43,50,48,46
23/10/2019,64,51,37,57,30,39,50,53,63,56,61,74,39
24/10/2019,49,45,33,41,24,34,41,50,64,42,48,51,36
25/10/2019,29,37,16,20,9,17,29,47,60,18,27,20,26
26/10/2019,25,22,8,13,7,9,21,25,42,13,21,23,24
27/10/2019,41,32,27,31,25,23,32,37,47,35,38,49,42
28/10/2019,48,45,31,40,29,28,34,39,48,40,48,63,43
29/10/2019,41,40,27,39,23,25,33,38,50,30,42,57,42
30/10/2019,50,42,27,50,24,31,40,50,64,40,46,63,43
31/10/2019,54,51,35,50,28,37,40,51,64,44,45,58,36
01/11/2019,45,50,22,33,16,29,41,59,67,33,37,34,30
02/11/2019,17,23,6,11,6,8,24,28,51,10,15,9,16
03/11/2019,33,39,22,26,16,22,36,51,67,27,33,32,26
04/11/2019,50,53,33,35,22,31,44,69,71,40,45,50,31
05/11/2019,48,29,27,38,21,16,25,21,33,30,40,59,37
06/11/2019,53,51,32,38,26,37,40,61,68,40,44,45,42
07/11/2019,43,44,27,31,19,31,34,56,79,33,39,36,38
08/11/2019,67,40,37,48,30,26,39,37,55,44,56,65,45
09/11/2019,51,45,24,40,22,35,34,49,60,39,42,45,37
10/11/2019,42,43,26,36,20,24,33,38,42,36,44,45,47
11/11/2019,32,35,20,38,17,23,28,37,64,27,37,28,40
12/11/2019,33,32,18,34,19,20,21,40,72,27,34,25,35
13/11/2019,45,44,29,45,24,32,33,56,78,41,43,41,36
14/11/2019,59,56,34,42,27,38,42,64,78,41,49,52,38
15/11/2019,45,33,22,36,19,16,20,19,29,26,41,51,36
16/11/2019,52,48,36,39,27,34,39,42,48,40,45,54,41
17/11/2019,58,48,39,51,30,38,46,49,52,50,59,66,60
18/11/2019,83,37,34,44,25,27,39,35,40,37,45,65,50
19/11/2019,75,76,56,60,39,61,58,76,82,62,67,76,55
20/11/2019,54,54,38,42,29,39,36,67,70,42,49,59,46
21/11/2019,50,41,30,44,28,34,36,42,64,39,43,54,30
22/11/2019,59,46,33,46,24,34,36,66,70,42,47,51,33
23/11/2019,53,38,35,47,30,34,43,44,51,40,48,56,34
24/11/2019,43,43,25,32,17,31,38,52,50,34,38,40,28
25/11/2019,48,48,24,30,15,32,35,61,58,32,36,35,32
26/11/2019,40,51,20,27,11,27,44,64,68,25,32,22,27
27/11/2019,48,47,35,35,25,29,36,59,71,33,43,43,46
28/11/2019,36,29,26,38,22,21,24,24,47,28,40,38,40
29/11/2019,61,45,44,45,30,30,42,41,49,43,52,76,44
30/11/2019,61,50,44,57,40,45,57,60,61,54,66,75,52
01/12/2019,40,35,19,37,16,17,22,20,31,23,39,40,48
02/12/2019,61,52,59,61,43,47,51,54,65,53,64,67,65
03/12/2019,66,68,54,57,39,57,58,78,86,57,66,64,59
04/12/2019,89,77,55,64,33,60,64,72,86,68,72,83,58
05/12/2019,44,51,36,41,28,38,49,60,77,39,45,41,41
06/12/2019,26,27,13,28,12,16,22,35,74,20,26,17,31
07/12/2019,31,34,14,24,15,20,29,41,62,21,22,20,36
08/12/2019,16,20,4,12,7,8,14,24,54,10,13,9,22
09/12/2019,46,32,26,46,21,24,28,30,39,29,41,51,36
10/12/2019,33,41,19,27,11,24,34,54,67,26,30,25,25
11/12/2019,47,50,31,38,24,30,40,66,85,38,42,36,29
12/12/2019,50,54,23,35,16,35,45,67,87,34,39,31,32
13/12/2019,27,26,15,50,15,15,24,29,65,23,31,26,38
14/12/2019,29,32,11,32,12,17,31,42,72,21,26,19,33
15/12/2019,22,27,5,14,7,11,30,38,61,14,21,13,18
16/12/2019,59,65,35,40,25,43,52,77,78,46,51,49,30
17/12/2019,67,55,46,44,36,43,54,65,67,51,53,72,53
18/12/2019,54,56,38,37,20,29,43,67,71,42,42,52,36
19/12/2019,32,35,12,20,8,21,36,47,59,19,23,15,18
20/12/2019,46,51,29,36,22,31,46,58,73,37,43,No data,42
21/12/2019,32,42,12,21,8,22,38,56,65,21,21,No data,21
22/12/2019,26,32,15,30,15,17,23,37,61,27,27,No data,26
23/12/2019,32,39,17,33,17,22,30,48,63,27,29,No data,34
24/12/2019,22,31,10,25,14,15,23,36,56,19,19,22,23
25/12/2019,35,35,24,39,22,23,30,38,43,33,36,43,34
26/12/2019,29,32,15,30,15,23,24,40,49,25,27,29,27
27/12/2019,40,42,32,34,22,28,30,40,39,33,37,47,29
28/12/2019,32,44,21,27,15,27,42,55,53,31,31,33,29
29/12/2019,23,39,26,22,17,20,29,42,50,22,26,31,25
30/12/2019,29,41,38,35,30,28,35,46,47,32,38,43,30
31/12/2019,39,41,32,38,30,32,34,42,45,39,43,54,30
01/01/2020,No data,No data,39,38,No data,39,44,55,51,40,43,43,29
02/01/2020,No data,No data,14,21,No data,19,32,45,52,18,23,16,28
03/01/2020,No data,No data,26,44,No data,19,23,28,43,24,36,35,34
04/01/2020,No data,No data,26,46,No data,25,26,47,61,31,36,32,42
05/01/2020,No data,No data,15,23,No data,17,33,48,57,18,20,18,26
06/01/2020,No data,No data,15,25,No data,15,26,51,58,20,25,17,24
07/01/2020,32,38,16,26,14,17,34,51,54,21,31,20,18
08/01/2020,35,40,26,35,25,24,26,52,56,28,35,27,28
